date,weekday,is_trading_day,reason,name
2023-04-15,Saturday,false,weekend,주말
2023-04-16,Sunday,false,weekend,주말
2023-04-22,Saturday,false,weekend,주말
2023-04-23,Sunday,false,weekend,주말
2023-04-29,Saturday,false,weekend,주말
2023-04-30,Sunday,false,weekend,주말
2023-05-01,Monday,false,holiday,근로자의날
2023-05-05,Friday,false,holiday,어린이날
2023-05-06,Saturday,false,weekend,주말
2023-05-07,Sunday,false,weekend,주말
2023-05-13,Saturday,false,weekend,주말
2023-05-14,Sunday,false,weekend,주말
2023-05-20,Saturday,false,weekend,주말
2023-05-21,Sunday,false,weekend,주말
2023-05-27,Saturday,false,weekend,주말
2023-05-28,Sunday,false,weekend,주말
2023-05-29,Monday,false,holiday,부처님 오신 날
2023-06-03,Saturday,false,weekend,주말
2023-06-04,Sunday,false,weekend,주말
2023-06-06,Tuesday,false,holiday,현충일
2023-06-10,Saturday,false,weekend,주말
2023-06-11,Sunday,false,weekend,주말
2023-06-17,Saturday,false,weekend,주말
2023-06-18,Sunday,false,weekend,주말
2023-06-24,Saturday,false,weekend,주말
2023-06-25,Sunday,false,weekend,주말
2023-07-01,Saturday,false,weekend,주말
2023-07-02,Sunday,false,weekend,주말
2023-07-08,Saturday,false,weekend,주말
2023-07-09,Sunday,false,weekend,주말
2023-07-15,Saturday,false,weekend,주말
2023-07-16,Sunday,false,weekend,주말
2023-07-22,Saturday,false,weekend,주말
2023-07-23,Sunday,false,weekend,주말
2023-07-29,Saturday,false,weekend,주말
2023-07-30,Sunday,false,weekend,주말
2023-08-05,Saturday,false,weekend,주말
2023-08-06,Sunday,false,weekend,주말
2023-08-12,Saturday,false,weekend,주말
2023-08-13,Sunday,false,weekend,주말
2023-08-15,Tuesday,false,holiday,광복절
2023-08-19,Saturday,false,weekend,주말
2023-08-20,Sunday,false,weekend,주말
2023-08-26,Saturday,false,weekend,주말
2023-08-27,Sunday,false,weekend,주말
2023-09-02,Saturday,false,weekend,주말
2023-09-03,Sunday,false,weekend,주말
2023-09-09,Saturday,false,weekend,주말
2023-09-10,Sunday,false,weekend,주말
2023-09-16,Saturday,false,weekend,주말
2023-09-17,Sunday,false,weekend,주말
2023-09-23,Saturday,false,weekend,주말
2023-09-24,Sunday,false,weekend,주말
2023-09-28,Thursday,false,holiday,추석
2023-09-29,Friday,false,holiday,추석
2023-09-30,Saturday,false,weekend,주말
2023-10-01,Sunday,false,weekend,주말
2023-10-02,Monday,false,holiday,임시공휴일
2023-10-03,Tuesday,false,holiday,개천절
2023-10-07,Saturday,false,weekend,주말
2023-10-08,Sunday,false,weekend,주말
2023-10-09,Monday,false,holiday,한글날
2023-10-14,Saturday,false,weekend,주말
2023-10-15,Sunday,false,weekend,주말
2023-10-21,Saturday,false,weekend,주말
2023-10-22,Sunday,false,weekend,주말
2023-10-28,Saturday,false,weekend,주말
2023-10-29,Sunday,false,weekend,주말
2023-11-04,Saturday,false,weekend,주말
2023-11-05,Sunday,false,weekend,주말
2023-11-11,Saturday,false,weekend,주말
2023-11-12,Sunday,false,weekend,주말
2023-11-18,Saturday,false,weekend,주말
2023-11-19,Sunday,false,weekend,주말
2023-11-25,Saturday,false,weekend,주말
2023-11-26,Sunday,false,weekend,주말
2023-12-02,Saturday,false,weekend,주말
2023-12-03,Sunday,false,weekend,주말
2023-12-09,Saturday,false,weekend,주말
2023-12-10,Sunday,false,weekend,주말
2023-12-16,Saturday,false,weekend,주말
2023-12-17,Sunday,false,weekend,주말
2023-12-23,Saturday,false,weekend,주말
2023-12-24,Sunday,false,weekend,주말
2023-12-25,Monday,false,holiday,크리스마스
2023-12-29,Friday,false,holiday,연말 증시 휴장일
2023-12-30,Saturday,false,weekend,주말
2023-12-31,Sunday,false,weekend,주말
2024-01-01,Monday,false,holiday,새해
2024-01-06,Saturday,false,weekend,주말
2024-01-07,Sunday,false,weekend,주말
2024-01-13,Saturday,false,weekend,주말
2024-01-14,Sunday,false,weekend,주말
2024-01-20,Saturday,false,weekend,주말
2024-01-21,Sunday,false,weekend,주말
2024-01-27,Saturday,false,weekend,주말
2024-01-28,Sunday,false,weekend,주말
2024-02-03,Saturday,false,weekend,주말
2024-02-04,Sunday,false,weekend,주말
2024-02-09,Friday,false,holiday,설날
2024-02-10,Saturday,false,weekend,주말
2024-02-11,Sunday,false,weekend,주말
2024-02-12,Monday,false,holiday,설날
2024-02-17,Saturday,false,weekend,주말
2024-02-18,Sunday,false,weekend,주말
2024-02-24,Saturday,false,weekend,주말
2024-02-25,Sunday,false,weekend,주말
2024-03-01,Friday,false,holiday,3·1절
2024-03-02,Saturday,false,weekend,주말
2024-03-03,Sunday,false,weekend,주말
2024-03-09,Saturday,false,weekend,주말
2024-03-10,Sunday,false,weekend,주말
2024-03-16,Saturday,false,weekend,주말
2024-03-17,Sunday,false,weekend,주말
2024-03-23,Saturday,false,weekend,주말
2024-03-24,Sunday,false,weekend,주말
2024-03-30,Saturday,false,weekend,주말
2024-03-31,Sunday,false,weekend,주말
2024-04-06,Saturday,false,weekend,주말
2024-04-07,Sunday,false,weekend,주말
2024-04-10,Wednesday,false,holiday,제22대 국회의원 선거일
2024-04-13,Saturday,false,weekend,주말
2024-04-14,Sunday,false,weekend,주말
2024-04-20,Saturday,false,weekend,주말
2024-04-21,Sunday,false,weekend,주말
2024-04-27,Saturday,false,weekend,주말
2024-04-28,Sunday,false,weekend,주말
2024-05-01,Wednesday,false,holiday,근로자의날
2024-05-04,Saturday,false,weekend,주말
2024-05-05,Sunday,false,weekend,주말
2024-05-06,Monday,false,holiday,어린이날
2024-05-11,Saturday,false,weekend,주말
2024-05-12,Sunday,false,weekend,주말
2024-05-15,Wednesday,false,holiday,부처님 오신 날
2024-05-18,Saturday,false,weekend,주말
2024-05-19,Sunday,false,weekend,주말
2024-05-25,Saturday,false,weekend,주말
2024-05-26,Sunday,false,weekend,주말
2024-06-01,Saturday,false,weekend,주말
2024-06-02,Sunday,false,weekend,주말
2024-06-06,Thursday,false,holiday,현충일
2024-06-08,Saturday,false,weekend,주말
2024-06-09,Sunday,false,weekend,주말
2024-06-15,Saturday,false,weekend,주말
2024-06-16,Sunday,false,weekend,주말
2024-06-22,Saturday,false,weekend,주말
2024-06-23,Sunday,false,weekend,주말
2024-06-29,Saturday,false,weekend,주말
2024-06-30,Sunday,false,weekend,주말
2024-07-06,Saturday,false,weekend,주말
2024-07-07,Sunday,false,weekend,주말
2024-07-13,Saturday,false,weekend,주말
2024-07-14,Sunday,false,weekend,주말
2024-07-20,Saturday,false,weekend,주말
2024-07-21,Sunday,false,weekend,주말
2024-07-27,Saturday,false,weekend,주말
2024-07-28,Sunday,false,weekend,주말
2024-08-03,Saturday,false,weekend,주말
2024-08-04,Sunday,false,weekend,주말
2024-08-10,Saturday,false,weekend,주말
2024-08-11,Sunday,false,weekend,주말
2024-08-15,Thursday,false,holiday,광복절
2024-08-17,Saturday,false,weekend,주말
2024-08-18,Sunday,false,weekend,주말
